oracle_id,card_name,mechanics_count,mechanics,categories,sources
44623693-51d6-49ad-8cd7-140505caf02f,Fury Sliver,2,"Double strike, Double","keyword_ability, keyword_action",oracle_text
8ae3562f-28b7-4462-96ed-be0cf7052ccc,Kor Outfitter,1,Attach,keyword_action,oracle_text
9f0d82ae-38bf-45d8-8cda-982b6ead1d72,Siren Lookout,4,"Flying, Explore, Reveal, Counter","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
5aa12aff-db3c-4be5-822b-3afdf536b33e,Web,4,"Enchant, Flying, Reach, Cast","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
c6e0574c-3e2b-4c40-b17a-05bce3d49309,Wastewood Verge,1,Activate,keyword_action,oracle_text
4d720849-56cd-4b78-b9a7-7b9484702f0f,Surge of Brilliance,4,"Paradox, Foretell, Exile, Cast","ability_word, keyword_ability, keyword_action","oracle_text, scryfall_keywords"
ef027846-be81-4959-a6b5-56bd01b1e68a,Venerable Knight,1,Counter,keyword_action,oracle_text
d96ac790-428b-4a64-8dbd-6baa73eb6210,Wildcall,1,Manifest,keyword_action,scryfall_keywords
645b5784-a6f7-4cf3-966a-e1a51420b96b,Mystic Skyfish,1,Flying,keyword_ability,oracle_text
49f0b317-6b06-482e-ab64-e02713e6c7e8,Battlewing Mystic,4,"Kicker, Flying, Discard, Cast","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
d3a0b660-358c-41bd-9cd2-41fbf3491b1a,Birds of Paradise,1,Flying,keyword_ability,scryfall_keywords
a7887b24-977d-4a40-bb30-4bf467e5dba6,Bronze Horse,1,Trample,keyword_ability,scryfall_keywords
4fcfe370-ba33-438f-bd96-2ae560f59df9,Wall of Vipers,3,"Defender, Destroy, Activate","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
12c03a03-36bf-487e-b8be-e55399525da5,Mulch,1,Reveal,keyword_action,oracle_text
53d5d961-d6a3-49b1-b335-2c2b49972008,Whiptongue Hydra,4,"Reach, Flying, Destroy, Counter","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
3a21a6ae-b2f2-4f0c-acfd-5f3e8d63fd2f,Wall of Roots,3,"Defender, Activate, Counter","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
da989677-3647-46b8-aa56-b2cfb60f7a2a,Pugnacious Hammerskull,1,Counter,keyword_action,oracle_text
2676d0c3-0a24-4e93-ae80-8f3fe03da483,War Historian,2,"Reach, Indestructible",keyword_ability,"oracle_text, scryfall_keywords"
74b08a70-b0bb-4340-98a0-b1d5b7c9d2cc,Searing Blaze,1,Landfall,ability_word,scryfall_keywords
269fc857-a052-4f0a-9759-467ccf42bebb,Siren's Call,2,"Destroy, Cast",keyword_action,oracle_text
fb81f95c-70f8-4eb7-8d15-15d0ae23ec03,Mystical Tutor,2,"Reveal, Shuffle",keyword_action,oracle_text
ef75da10-1b33-4066-bd42-1111b5a94f75,Blood Operative,3,"Lifelink, Surveil, Exile","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
8ee2dd43-cda2-4cb7-9e4b-1946d5b7467e,Selvala's Enforcer,2,"Parley, Counter","ability_word, keyword_action","oracle_text, scryfall_keywords"
2cdbaa4e-8907-49dc-9fa9-0df70db3bf23,Coalstoke Gearhulk,5,"Menace, Deathtouch, Haste, Exile, Counter","keyword_ability, keyword_action","oracle_text, scryfall_keywords"
