name,oracle_id,cmc,type_line,mechanics_count,is_infinite_combo
Birds of Paradise,d3a0b660-358c-41bd-9cd2-41fbf3491b1a,1.0,Creature — Bird,1,True
Mystical Tutor,fb81f95c-70f8-4eb7-8d15-15d0ae23ec03,1.0,Instant,2,True
"Narset, Parter of Veils",ab26fbe2-e808-48b9-8d0d-3fbb6c3d554f,3.0,Legendary Planeswalker — Narset,1,True
Paradise Druid,e119869d-1f66-402b-8251-d351965cf0d3,2.0,Creature — Elf Druid,1,True
"Lavinia, Azorius Renegade",81ba3a33-0e04-4f68-9a42-1dd717733b57,2.0,Legendary Creature — Human Soldier,2,True
Triskelion,74f67dcf-5afb-45aa-8d4b-3cdb23f6f2a1,6.0,Artifact Creature — Construct,1,True
"Gorion, Wise Mentor",195bd8fe-581c-44ed-b7f8-e800df3502ff,3.0,Legendary Creature — Human Wizard,2,True
Remand,d71cd08e-3e84-41ff-b9db-9e343c0af6b4,2.0,Instant,1,True
"Ulasht, the Hate Seed",796f1e1f-7fec-429d-82ae-125f541d6cc7,4.0,Legendary Creature — Hellion Hydra,2,True
Elvish Aberration,1d25b831-c1de-4f79-bbb3-1582eda96452,6.0,Creature — Elf Mutant,7,True
"Farid, Enterprising Salvager",83cb9ab7-6a8f-40b5-b076-6fa669ff15f2,3.0,Legendary Creature — Human Soldier,6,True
"Izoni, Thousand-Eyed",5a210b32-6e1f-4578-bd8b-4e481b761159,6.0,Legendary Creature — Elf Shaman,3,True
Ornithopter,a3a98bc9-caa0-49b7-951c-fe4e4f54e4ba,0.0,Artifact Creature — Thopter,1,True
Darksteel Splicer,63a0f0a2-bafc-4cd0-a4ed-42ce58cd3e9b,7.0,Creature — Phyrexian Artificer,2,True
"Hogaak, Arisen Necropolis",97acd977-164d-49d5-b3a1-72e0d75c9016,7.0,Legendary Creature — Avatar,6,True
"Cadric, Soul Kindler",739bbf44-9169-4749-abea-21c20823915f,4.0,Legendary Creature — Dwarf Wizard,3,True
Vandalblast,3567c3c8-b3c7-45b7-935b-b1fdbc973720,1.0,Sorcery,3,True
Beledros Witherbloom,90194ff1-db61-463f-b5a3-15cd85311d0e,7.0,Legendary Creature — Elder Dragon,4,True
Phyresis,958628af-243c-4eb0-8620-5d483b6da768,2.0,Enchantment — Aura,2,True
Skullclamp,65986c1b-8e51-4604-b685-d82fa7d1263a,1.0,Artifact — Equipment,1,True
Thousand-Faced Shadow,98636623-bbc6-4935-a2bb-2234691eb6d8,1.0,Creature — Human Ninja,3,True
Rite of Replication,fb60739e-1dc3-481d-a056-ad72e665c680,4.0,Sorcery,3,True
Blighted Burgeoning,5e10fd35-9768-48e4-8cdb-95224ad33b9b,3.0,Enchantment — Aura,4,True
Finale of Promise,d6fafb50-9531-4fbf-bb1e-ebb4dd39281c,2.0,Sorcery,2,True
"Laelia, the Blade Reforged",a0be9bb2-3234-4c6c-b8ce-0879b1f43003,3.0,Legendary Creature — Spirit Warrior,4,True
Immaculate Magistrate,e6e38bd4-e6dc-400b-8e08-956726842dc4,4.0,Creature — Elf Shaman,1,True
Soul of Eternity,4d211447-9f18-4d23-8f19-cdf6ad3c68ba,7.0,Creature — Avatar,6,True
Starfield Vocalist,4add809e-9caa-45ae-bb0d-4760a360b8e2,4.0,Creature — Human Bard,3,True
"Alesha, Who Smiles at Death",6969a7e2-6866-4001-a139-24b3be13deae,3.0,Legendary Creature — Human Warrior,1,True
Gemrazer,3dfb0c0a-b68f-43b9-8475-28d0192fc4ed,4.0,Creature — Beast,5,True
Rally the Galadhrim,84b2d0f6-ad98-4a71-a3d5-645b0f2db6c6,4.0,Sorcery,4,True
Drannith Magistrate,aadd10d0-6dd0-4bdc-8d93-ff08e29a5863,2.0,Creature — Human Wizard,1,True
"Ulamog, the Infinite Gyre",b817bc56-9b4d-4c50-bafa-3c652b99578f,11.0,Legendary Creature — Eldrazi,4,True
"Ajani, the Greathearted",f5d9be71-91d0-4166-ba58-cbbf5d490c40,4.0,Legendary Planeswalker — Ajani,2,True
Gift of Paradise,43a86d36-9653-4498-a533-8b30b919cdbf,3.0,Enchantment — Aura,1,True
Snake Umbra,70ed2052-f03c-461d-b32a-8835c97c559f,3.0,Enchantment — Aura,3,True
Temple of the False God,cfdd5dc6-593e-495a-8cfe-3a56b3c4c7df,0.0,Land,1,True
Young Wolf,8b492764-10b6-4506-be11-22daa9220a91,1.0,Creature — Wolf,2,True
Dark Depths,c9b82110-7dfd-4617-9399-9510be449043,0.0,Legendary Snow Land,5,True
Mindslaver,a806f4ee-f48a-46c3-8772-5aaabebe4c7e,6.0,Legendary Artifact,1,True
Coretapper,66e37011-f3d2-41ed-8e09-7bba9464e8c3,2.0,Artifact Creature — Myr,2,True
Angel of Glory's Rise,c6a606af-ea08-4cd9-bfd9-60d76e232e85,7.0,Creature — Angel,2,True
Goblin Warchief,39882df0-c20f-469d-94ba-1617224e71a1,3.0,Creature — Goblin Warrior,2,True
"Lathiel, the Bounteous Dawn",d3c56fc4-3611-41b1-952e-4c5311b1510b,4.0,Legendary Creature — Unicorn,1,True
"Baylen, the Haymaker",73dc28a7-37ac-4b16-aa00-967c9c44d979,3.0,Legendary Creature — Rabbit Warrior,2,True
Parallel Lives,84dc94b2-95fb-4d53-aaa2-191cb645639f,4.0,Enchantment,1,True
"Ghalta, Primal Hunger",b0b6be0c-41cf-4757-9f0e-87227b6ba6b3,12.0,Legendary Creature — Elder Dinosaur,2,True
The Earth Crystal,5e7ef7fe-968b-4ada-9fe4-6fda0541aafc,4.0,Legendary Artifact,1,True
Brass's Bounty,63b0538e-aa94-4e23-adf1-704cbf5bc3e5,7.0,Sorcery,3,True
Kelpie Guide,8fc1e8b1-3afc-4e9d-a3ae-7bd9bcdcb465,3.0,Creature — Beast,3,True
"Ragost, Deft Gastronaut",76f5445a-5193-4794-8593-b44f961334b6,2.0,Legendary Creature — Lobster Citizen,3,True
Chandra's Incinerator,515cee6a-a2e1-4eeb-8e1d-293724313b14,6.0,Creature — Elemental,2,True
Sylvan Tutor,935e0cac-51ee-4cb7-a209-f085e0f099ed,1.0,Sorcery,2,True
Eusocial Engineering,2f3f5a1c-8b88-4080-bd80-14db4d6c8c50,5.0,Enchantment,5,True
Wrathful Red Dragon,17c2a962-994a-49f1-8c4e-ebcc43c3c92a,5.0,Creature — Dragon,1,True
Destiny Spinner,7dd189f8-a23f-4b43-b0ef-fb174a9664ba,2.0,Enchantment Creature — Human,2,True
"Alena, Kessig Trapper",ca349ba9-b5ea-48e6-a617-c9b7f2708853,5.0,Legendary Creature — Human Scout,2,True
Zuran Orb,08cb8a30-9cb4-4517-bee5-8848aa60d1a2,0.0,Artifact,1,True
"Gerrard, Weatherlight Hero",8a1e8435-16f2-475b-a8a9-7b9f0cf4594a,4.0,Legendary Creature — Human Soldier,2,True
Professor Onyx,9df2e909-ed13-456a-9636-7398732009a9,6.0,Legendary Planeswalker — Liliana,3,True
"Kykar, Wind's Fury",71a80491-eea2-4661-9446-26a87efbf4a8,4.0,Legendary Creature — Bird Wizard,4,True
Storm-Kiln Artist,a145ff8c-5812-4bcb-bd16-9839dc25121d,4.0,Creature — Dwarf Shaman,4,True
Undead Warchief,e6af56bf-bd78-4801-8f6e-033cdd68de3d,4.0,Creature — Zombie,1,True
Aggravated Assault,20129459-a386-41eb-899d-1aede3427300,3.0,Enchantment,2,True
"Minsc & Boo, Timeless Heroes",3a310554-3f69-4158-bb94-9d6965c7125a,4.0,Legendary Planeswalker — Minsc,4,True
"Niv-Mizzet, the Firemind",959acb66-84ca-4535-bca2-ad591895735e,6.0,Legendary Creature — Dragon Wizard,1,True
Rude Awakening,685a7f67-6809-4386-990f-c52d1846a584,5.0,Sorcery,2,True
"Yarus, Roar of the Old Gods",30fd6171-3e57-4c05-a86b-e1c0479ba236,4.0,Legendary Creature — Centaur Druid,1,True
"Kess, Dissident Mage",f5092c14-eec4-472c-999c-ba96c36b2fbb,4.0,Legendary Creature — Human Wizard,3,True
Thallid,46abaabe-7015-4d82-a5aa-2706b1f51bed,1.0,Creature — Fungus,2,True
Grim Haruspex,72aef1d8-11df-4bc2-af83-907b05df73a8,3.0,Creature — Human Wizard,2,True
Field of Souls,4d7a5b14-8fce-41f2-a0d5-fff3d15f41f6,4.0,Enchantment,2,True
Stormsplitter,4a9ae0d9-5ee7-4289-9333-ef0bcc3079ca,4.0,Creature — Otter Wizard,4,True
Gandalf the White,5b3b5f6a-375e-4479-9384-a942eda83f9b,5.0,Legendary Creature — Avatar Wizard,2,True
Emeria Angel,ea6616e4-db8d-4905-80f8-cb0162906850,4.0,Creature — Angel,3,True
"Jin-Gitaxias, Progress Tyrant",f5daadc1-98ff-480a-82bb-fe7bfaa7b60e,7.0,Legendary Creature — Phyrexian Praetor,2,True
Rude Awakening,685a7f67-6809-4386-990f-c52d1846a584,5.0,Sorcery,2,True
Agatha's Soul Cauldron,c259e16f-2a44-4552-8678-815f757a02e8,2.0,Legendary Artifact,3,True
Sneak Attack,e7aee670-e6ac-4b3a-b3d1-7b7013db8f3d,4.0,Enchantment,2,True
"Miirym, Sentinel Wyrm",880fcf86-e6a9-482c-b91d-750f293127b2,6.0,Legendary Creature — Dragon Spirit,3,True
"Heliod, Sun-Crowned",63e596a2-9126-4af6-8782-c38687d664ad,3.0,Legendary Enchantment Creature — God,3,True
Clockspinning,3e1b32a9-27a4-4550-a644-ebe254e1f512,1.0,Instant,3,True
Currency Converter,981298e6-ddee-49c0-9377-f47f019b4138,1.0,Artifact,4,True
"Oathkeeper, Takeno's Daisho",7d58b478-a64b-46e9-b62a-08c6c1ca7c13,3.0,Legendary Artifact — Equipment,2,True
Dictate of Kruphix,be74a4c1-d569-4203-b28a-3e2ac6a82990,3.0,Enchantment,2,True
"Pippin, Warden of Isengard",421ec8a8-2b20-4296-b8f7-010acc3f8097,2.0,Legendary Creature — Halfling Advisor,8,True
Oketra's Monument,0370afa0-07d3-4787-8a5b-10272cb3a486,3.0,Legendary Artifact,3,True
